seccion_id,votante,cantidad,tipo,concepto,cantidad_str
12,No Votantes,520.0,4,VotoBlando,520
13,No Votantes,186.0,4,VotoBlando,186
14,No Votantes,153.0,4,VotoBlando,153
15,No Votantes,102.0,4,VotoBlando,102
16,No Votantes,401.0,4,VotoBlando,401
17,No Votantes,394.0,4,VotoBlando,394
18,No Votantes,146.0,4,VotoBlando,146
19,No Votantes,136.0,4,VotoBlando,136
20,No Votantes,28.0,4,VotoBlando,28
21,No Votantes,148.0,4,VotoBlando,148
22,No Votantes,221.0,4,VotoBlando,221
23,No Votantes,46.0,4,VotoBlando,46
24,No Votantes,107.0,4,VotoBlando,107
25,No Votantes,60.0,4,VotoBlando,60
26,No Votantes,184.0,4,VotoBlando,184
27,No Votantes,474.0,4,VotoBlando,474
28,No Votantes,158.0,4,VotoBlando,158
29,No Votantes,319.0,4,VotoBlando,319
30,No Votantes,295.0,4,VotoBlando,295
31,No Votantes,325.0,4,VotoBlando,325
32,No Votantes,106.0,4,VotoBlando,106
33,No Votantes,189.0,4,VotoBlando,189
34,No Votantes,291.0,4,VotoBlando,291
35,No Votantes,1114.0,4,VotoBlando,"1,114"
36,No Votantes,1370.0,4,VotoBlando,"1,370"
37,No Votantes,248.0,4,VotoBlando,248
38,No Votantes,2491.0,4,VotoBlando,"2,491"
39,No Votantes,369.0,4,VotoBlando,369
40,No Votantes,38.0,4,VotoBlando,38
41,No Votantes,107.0,4,VotoBlando,107
42,No Votantes,143.0,4,VotoBlando,143
43,No Votantes,35.0,4,VotoBlando,35
44,No Votantes,61.0,4,VotoBlando,61
45,No Votantes,52.0,4,VotoBlando,52
46,No Votantes,31.0,4,VotoBlando,31
47,No Votantes,234.0,4,VotoBlando,234
48,No Votantes,27.0,4,VotoBlando,27
49,No Votantes,31.0,4,VotoBlando,31
50,No Votantes,5730.0,4,VotoBlando,"5,730"
51,No Votantes,451.0,4,VotoBlando,451
52,No Votantes,1759.0,4,VotoBlando,"1,759"
53,No Votantes,2134.0,4,VotoBlando,"2,134"
54,No Votantes,112.0,4,VotoBlando,112
55,No Votantes,171.0,4,VotoBlando,171
56,No Votantes,152.0,4,VotoBlando,152
57,No Votantes,61.0,4,VotoBlando,61
58,No Votantes,49.0,4,VotoBlando,49
59,No Votantes,194.0,4,VotoBlando,194
60,No Votantes,688.0,4,VotoBlando,688
61,No Votantes,4864.0,4,VotoBlando,"4,864"
62,No Votantes,1962.0,4,VotoBlando,"1,962"
63,No Votantes,3180.0,4,VotoBlando,"3,180"
64,No Votantes,49.0,4,VotoBlando,49
65,No Votantes,119.0,4,VotoBlando,119
66,No Votantes,88.0,4,VotoBlando,88
67,No Votantes,259.0,4,VotoBlando,259
68,No Votantes,85.0,4,VotoBlando,85
69,No Votantes,159.0,4,VotoBlando,159
70,No Votantes,2611.0,4,VotoBlando,"2,611"
71,No Votantes,572.0,4,VotoBlando,572
72,No Votantes,107.0,4,VotoBlando,107
73,No Votantes,33.0,4,VotoBlando,33
74,No Votantes,192.0,4,VotoBlando,192
75,No Votantes,317.0,4,VotoBlando,317
76,No Votantes,422.0,4,VotoBlando,422
77,No Votantes,2095.0,4,VotoBlando,"2,095"
78,No Votantes,175.0,4,VotoBlando,175
79,No Votantes,2419.0,4,VotoBlando,"2,419"
80,No Votantes,1892.0,4,VotoBlando,"1,892"
81,No Votantes,89.0,4,VotoBlando,89
82,No Votantes,630.0,4,VotoBlando,630
83,No Votantes,255.0,4,VotoBlando,255
84,No Votantes,978.0,4,VotoBlando,978
85,No Votantes,257.0,4,VotoBlando,257
86,No Votantes,65.0,4,VotoBlando,65
87,No Votantes,928.0,4,VotoBlando,928
88,No Votantes,41.0,4,VotoBlando,41
89,No Votantes,1579.0,4,VotoBlando,"1,579"
90,No Votantes,194.0,4,VotoBlando,194
91,No Votantes,86.0,4,VotoBlando,86
92,No Votantes,2638.0,4,VotoBlando,"2,638"
93,No Votantes,154.0,4,VotoBlando,154
94,No Votantes,90.0,4,VotoBlando,90
95,No Votantes,77.0,4,VotoBlando,77
96,No Votantes,100.0,4,VotoBlando,100
97,No Votantes,41.0,4,VotoBlando,41
98,No Votantes,219.0,4,VotoBlando,219
99,No Votantes,170.0,4,VotoBlando,170
100,No Votantes,89.0,4,VotoBlando,89
101,No Votantes,251.0,4,VotoBlando,251
102,No Votantes,131.0,4,VotoBlando,131
103,No Votantes,169.0,4,VotoBlando,169
104,No Votantes,53.0,4,VotoBlando,53
105,No Votantes,1212.0,4,VotoBlando,"1,212"
106,No Votantes,1392.0,4,VotoBlando,"1,392"
107,No Votantes,1122.0,4,VotoBlando,"1,122"
108,No Votantes,447.0,4,VotoBlando,447
109,No Votantes,197.0,4,VotoBlando,197
110,No Votantes,21.0,4,VotoBlando,21
111,No Votantes,786.0,4,VotoBlando,786
112,No Votantes,43.0,4,VotoBlando,43
113,No Votantes,2633.0,4,VotoBlando,"2,633"
114,No Votantes,114.0,4,VotoBlando,114
115,No Votantes,302.0,4,VotoBlando,302
116,No Votantes,30.0,4,VotoBlando,30
117,No Votantes,618.0,4,VotoBlando,618
118,No Votantes,2001.0,4,VotoBlando,"2,001"
119,No Votantes,871.0,4,VotoBlando,871
120,No Votantes,47.0,4,VotoBlando,47
121,No Votantes,261.0,4,VotoBlando,261
122,No Votantes,1046.0,4,VotoBlando,"1,046"
123,No Votantes,304.0,4,VotoBlando,304
124,No Votantes,133.0,4,VotoBlando,133
125,No Votantes,837.0,4,VotoBlando,837
126,No Votantes,40.0,4,VotoBlando,40
127,No Votantes,46.0,4,VotoBlando,46
128,No Votantes,441.0,4,VotoBlando,441
129,No Votantes,1980.0,4,VotoBlando,"1,980"
130,No Votantes,2882.0,4,VotoBlando,"2,882"
131,No Votantes,78.0,4,VotoBlando,78
132,No Votantes,578.0,4,VotoBlando,578
133,No Votantes,901.0,4,VotoBlando,901
134,No Votantes,1075.0,4,VotoBlando,"1,075"
135,No Votantes,23.0,4,VotoBlando,23
